latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.973637,-2.4015198,105.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),cloud_cover (%),wind_speed_10m (km/h),wind_direction_100m (°),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),rain (mm),precipitation (mm),et0_fao_evapotranspiration (mm)
2024-12-12T00:00,8.3,63,1,2.6,234,9.1,12.8,17.3,0.00,0.00,0.00
2024-12-12T01:00,7.2,56,0,3.7,202,8.7,12.9,17.3,0.00,0.00,0.01
2024-12-12T02:00,6.1,55,43,3.8,192,8.4,12.7,17.2,0.00,0.00,0.01
2024-12-12T03:00,5.7,61,79,3.5,210,8.2,12.5,17.2,0.00,0.00,0.00
2024-12-12T04:00,5.4,66,6,4.8,201,8.0,12.4,17.2,0.00,0.00,0.00
2024-12-12T05:00,5.0,71,28,3.9,225,7.8,12.2,17.2,0.00,0.00,0.00
2024-12-12T06:00,5.2,70,3,4.6,226,7.6,12.0,17.2,0.00,0.00,0.00
2024-12-12T07:00,5.0,68,0,4.6,225,7.4,11.9,17.1,0.00,0.00,0.00
2024-12-12T08:00,6.7,64,0,5.9,219,7.6,11.7,17.1,0.00,0.00,0.02
2024-12-12T09:00,11.4,57,0,6.3,226,8.9,11.6,17.1,0.00,0.00,0.09
2024-12-12T10:00,14.9,45,0,7.1,265,10.8,11.6,17.1,0.00,0.00,0.19
2024-12-12T11:00,16.8,38,0,6.6,289,12.6,11.7,17.1,0.00,0.00,0.26
2024-12-12T12:00,18.1,35,0,6.4,311,14.3,12.0,17.0,0.00,0.00,0.31
2024-12-12T13:00,18.9,34,0,7.1,334,15.1,12.2,17.0,0.00,0.00,0.32
2024-12-12T14:00,18.9,33,1,7.0,351,16.0,12.5,17.0,0.00,0.00,0.29
2024-12-12T15:00,17.8,41,1,9.6,40,16.2,12.8,17.0,0.00,0.00,0.23
2024-12-12T16:00,15.9,50,0,8.4,74,15.7,13.1,17.0,0.00,0.00,0.13
2024-12-12T17:00,12.4,57,0,6.9,91,14.4,13.3,17.0,0.00,0.00,0.04
2024-12-12T18:00,11.4,60,0,3.0,101,12.9,13.4,16.9,0.00,0.00,0.00
2024-12-12T19:00,10.5,63,0,0.7,78,11.8,13.4,16.9,0.00,0.00,0.00
2024-12-12T20:00,9.6,65,6,1.0,28,10.9,13.3,16.9,0.00,0.00,0.00
2024-12-12T21:00,8.6,67,21,4.1,282,10.2,13.2,16.9,0.00,0.00,0.00
2024-12-12T22:00,8.9,64,94,7.3,254,9.9,13.1,16.9,0.00,0.00,0.02
2024-12-12T23:00,10.1,60,72,6.6,242,10.1,13.0,16.9,0.00,0.00,0.02
2024-12-13T00:00,10.4,57,49,7.8,226,10.1,12.9,16.9,0.00,0.00,0.03
2024-12-13T01:00,9.2,52,26,8.4,222,9.9,13.0,16.9,0.00,0.00,0.03
2024-12-13T02:00,9.9,54,18,8.5,221,9.9,12.9,16.8,0.00,0.00,0.03
2024-12-13T03:00,8.6,62,23,7.2,224,9.7,12.8,16.8,0.00,0.00,0.02
2024-12-13T04:00,8.1,67,9,7.6,228,9.5,12.7,16.8,0.00,0.00,0.02
2024-12-13T05:00,7.4,72,0,6.5,225,9.2,12.6,16.8,0.00,0.00,0.01
2024-12-13T06:00,6.9,76,0,5.5,230,8.9,12.5,16.8,0.00,0.00,0.00
2024-12-13T07:00,6.8,79,3,5.2,231,8.6,12.3,16.8,0.00,0.00,0.00
2024-12-13T08:00,8.7,75,1,4.5,238,8.7,12.2,16.8,0.00,0.00,0.02
2024-12-13T09:00,12.6,67,0,5.7,242,10.0,12.1,16.7,0.00,0.00,0.08
2024-12-13T10:00,15.6,58,0,5.6,259,11.8,12.2,16.7,0.00,0.00,0.18
2024-12-13T11:00,17.4,51,0,6.4,271,13.7,12.3,16.7,0.00,0.00,0.25
2024-12-13T12:00,18.7,47,0,6.0,275,15.3,12.5,16.7,0.00,0.00,0.30
2024-12-13T13:00,20.1,40,0,5.7,287,16.9,12.8,16.7,0.00,0.00,0.32
2024-12-13T14:00,20.4,38,0,6.0,325,17.6,13.2,16.7,0.00,0.00,0.29
2024-12-13T15:00,18.8,48,0,13.2,14,17.6,13.5,16.7,0.00,0.00,0.24
2024-12-13T16:00,16.0,62,1,12.0,25,16.9,13.8,16.7,0.00,0.00,0.13
2024-12-13T17:00,13.1,78,3,4.9,49,15.5,14.0,16.6,0.00,0.00,0.02
2024-12-13T18:00,12.6,81,0,2.9,49,14.1,14.1,16.6,0.00,0.00,0.00
2024-12-13T19:00,12.2,82,0,0.9,53,13.0,14.1,16.6,0.00,0.00,0.00
2024-12-13T20:00,11.2,82,0,1.1,98,12.1,14.1,16.6,0.00,0.00,0.00
2024-12-13T21:00,10.4,83,0,3.2,287,11.4,14.0,16.6,0.00,0.00,0.00
2024-12-13T22:00,9.9,85,0,3.9,234,10.9,13.9,16.6,0.00,0.00,0.00
2024-12-13T23:00,9.7,80,0,2.7,205,10.4,13.7,16.6,0.00,0.00,0.00
2024-12-14T00:00,9.0,82,4,3.2,288,10.0,13.6,16.6,0.00,0.00,0.00
2024-12-14T01:00,8.2,80,0,4.4,254,9.6,13.5,16.6,0.00,0.00,0.00
2024-12-14T02:00,7.9,75,1,4.7,234,9.4,13.4,16.6,0.00,0.00,0.00
2024-12-14T03:00,7.5,75,99,3.1,293,9.1,13.2,16.6,0.00,0.00,0.00
2024-12-14T04:00,7.2,74,91,3.3,256,9.0,13.0,16.6,0.00,0.00,0.00
2024-12-14T05:00,6.4,74,99,4.6,223,9.0,12.9,16.6,0.00,0.00,0.00
2024-12-14T06:00,5.7,78,82,6.6,258,8.9,12.7,16.6,0.00,0.00,0.00
2024-12-14T07:00,6.6,75,49,6.7,220,8.9,12.6,16.5,0.00,0.00,0.00
2024-12-14T08:00,7.7,75,64,6.9,239,9.1,12.4,16.5,0.00,0.00,0.02
2024-12-14T09:00,10.4,75,99,6.2,278,10.0,12.4,16.5,0.00,0.00,0.07
2024-12-14T10:00,13.5,72,57,6.0,277,11.5,12.4,16.5,0.00,0.00,0.14
2024-12-14T11:00,15.6,61,57,2.7,322,13.4,12.5,16.5,0.00,0.00,0.23
2024-12-14T12:00,16.7,55,60,5.5,9,15.1,12.6,16.5,0.00,0.00,0.28
2024-12-14T13:00,17.3,57,68,8.8,24,16.2,13.1,16.5,0.00,0.00,0.29
2024-12-14T14:00,17.2,61,85,10.2,33,16.8,13.4,16.5,0.00,0.00,0.26
2024-12-14T15:00,16.8,64,98,11.2,45,16.9,13.6,16.5,0.00,0.00,0.19
2024-12-14T16:00,15.8,67,0,10.6,52,16.4,13.9,16.5,0.00,0.00,0.11
2024-12-14T17:00,13.0,83,19,6.3,51,15.2,14.0,16.4,0.00,0.00,0.02
2024-12-14T18:00,12.1,86,21,3.6,64,13.9,14.1,16.4,0.00,0.00,0.00
2024-12-14T19:00,11.9,82,14,1.9,69,12.9,14.1,16.4,0.00,0.00,0.00
2024-12-14T20:00,11.0,82,60,2.7,99,12.0,14.0,16.4,0.00,0.00,0.00
2024-12-14T21:00,9.8,87,6,2.6,110,11.4,14.0,16.4,0.00,0.00,0.00
2024-12-14T22:00,9.0,91,62,2.1,37,10.8,13.8,16.4,0.00,0.00,0.00
2024-12-14T23:00,8.8,92,76,2.4,311,10.4,13.7,16.4,0.00,0.00,0.00
2024-12-15T00:00,8.7,90,19,4.7,235,10.0,13.5,16.4,0.00,0.00,0.00
2024-12-15T01:00,8.6,87,98,4.4,262,9.9,13.6,16.4,0.00,0.00,0.00
2024-12-15T02:00,8.4,86,100,5.0,234,9.7,13.4,16.4,0.00,0.00,0.00
2024-12-15T03:00,8.2,86,100,5.0,216,9.7,13.3,16.4,0.00,0.00,0.00
2024-12-15T04:00,7.9,86,100,4.3,266,9.6,13.1,16.4,0.00,0.00,0.00
2024-12-15T05:00,8.4,84,91,5.5,243,9.7,13.0,16.4,0.00,0.00,0.00
2024-12-15T06:00,8.4,82,34,4.8,197,9.7,12.9,16.4,0.00,0.00,0.00
2024-12-15T07:00,7.9,84,97,4.3,199,9.6,12.8,16.4,0.00,0.00,0.00
2024-12-15T08:00,9.2,80,100,6.5,200,9.9,12.7,16.4,0.00,0.00,0.02
2024-12-15T09:00,11.6,74,30,6.0,193,10.8,12.6,16.3,0.00,0.00,0.06
2024-12-15T10:00,13.9,70,92,4.3,270,12.2,12.6,16.3,0.00,0.00,0.14
2024-12-15T11:00,15.7,64,36,4.7,14,14.0,12.7,16.3,0.00,0.00,0.23
2024-12-15T12:00,16.9,60,100,10.2,30,15.4,12.9,16.3,0.00,0.00,0.28
2024-12-15T13:00,17.1,60,60,14.9,44,15.7,13.1,16.3,0.00,0.00,0.27
2024-12-15T14:00,17.1,58,10,14.1,49,16.3,13.3,16.3,0.00,0.00,0.26
2024-12-15T15:00,16.5,62,4,14.5,48,16.5,13.5,16.3,0.00,0.00,0.20
2024-12-15T16:00,15.4,69,19,12.5,50,16.0,13.7,16.3,0.00,0.00,0.12
2024-12-15T17:00,12.4,85,2,6.8,58,14.9,13.9,16.3,0.00,0.00,0.02
2024-12-15T18:00,11.0,88,2,6.2,71,13.5,14.0,16.3,0.00,0.00,0.00
2024-12-15T19:00,10.5,89,17,4.6,73,12.4,13.9,16.3,0.00,0.00,0.00
2024-12-15T20:00,10.3,88,0,3.5,75,11.5,13.9,16.3,0.00,0.00,0.00
2024-12-15T21:00,10.1,89,2,2.6,84,10.8,13.8,16.3,0.00,0.00,0.00
2024-12-15T22:00,9.6,89,2,1.5,75,10.2,13.6,16.3,0.00,0.00,0.00
2024-12-15T23:00,9.4,88,37,1.4,63,9.6,13.5,16.3,0.00,0.00,0.00
2024-12-16T00:00,9.1,86,0,0.4,59,9.2,13.3,16.2,0.00,0.00,0.00
2024-12-16T01:00,8.5,83,5,0.7,60,8.7,13.3,16.2,0.00,0.00,0.00
2024-12-16T02:00,7.8,83,24,0.4,50,8.3,13.1,16.2,0.00,0.00,0.00
2024-12-16T03:00,7.1,84,5,0.3,39,8.0,12.9,16.2,0.00,0.00,0.00
2024-12-16T04:00,6.6,83,0,0.4,35,7.6,12.6,16.2,0.00,0.00,0.00
2024-12-16T05:00,5.8,85,9,1.2,33,7.3,12.4,16.2,0.00,0.00,0.00
2024-12-16T06:00,5.1,88,0,3.3,310,7.1,12.2,16.2,0.00,0.00,0.00
2024-12-16T07:00,4.9,89,0,3.8,297,7.0,12.0,16.2,0.00,0.00,0.00
2024-12-16T08:00,5.6,86,16,3.9,318,7.2,11.8,16.2,0.00,0.00,0.01
2024-12-16T09:00,10.3,78,15,4.5,324,8.4,11.6,16.2,0.00,0.00,0.07
2024-12-16T10:00,13.9,59,0,6.1,310,10.4,11.6,16.1,0.00,0.00,0.17
2024-12-16T11:00,16.0,48,0,5.4,333,12.4,11.7,16.1,0.00,0.00,0.25
2024-12-16T12:00,17.2,43,0,6.8,8,14.1,11.9,16.1,0.00,0.00,0.30
2024-12-16T13:00,18.1,42,0,9.3,25,15.7,12.2,16.1,0.00,0.00,0.32
2024-12-16T14:00,17.1,46,0,16.6,31,16.2,12.5,16.1,0.00,0.00,0.29
2024-12-16T15:00,16.1,47,0,17.1,35,16.0,12.8,16.1,0.00,0.00,0.23
2024-12-16T16:00,15.1,53,0,14.8,39,15.5,13.0,16.1,0.00,0.00,0.15
2024-12-16T17:00,13.3,59,0,11.3,54,14.4,13.2,16.1,0.00,0.00,0.06
2024-12-16T18:00,12.2,64,0,8.8,65,13.3,13.3,16.1,0.00,0.00,0.03
2024-12-16T19:00,10.9,65,2,4.8,68,12.1,13.3,16.1,0.00,0.00,0.01
2024-12-16T20:00,9.5,60,6,0.4,44,10.9,13.3,16.0,0.00,0.00,0.00
2024-12-16T21:00,7.9,60,0,6.7,273,10.1,13.2,16.0,0.00,0.00,0.02
2024-12-16T22:00,6.2,64,0,6.2,263,9.6,13.0,16.0,0.00,0.00,0.01
2024-12-16T23:00,5.4,61,0,4.4,285,9.0,12.9,16.0,0.00,0.00,0.01
2024-12-17T00:00,5.4,57,0,4.8,267,8.5,12.7,16.0,0.00,0.00,0.01
2024-12-17T01:00,5.3,57,0,4.1,268,8.4,12.6,16.0,0.00,0.00,0.01
2024-12-17T02:00,4.9,54,0,2.9,279,7.8,12.4,16.0,0.00,0.00,0.00
2024-12-17T03:00,4.4,55,0,3.8,270,7.3,12.2,16.0,0.00,0.00,0.01
2024-12-17T04:00,4.1,58,13,4.0,274,6.9,12.0,16.0,0.00,0.00,0.01
2024-12-17T05:00,4.1,59,1,4.8,272,6.7,11.8,16.0,0.00,0.00,0.01
2024-12-17T06:00,4.3,58,5,5.2,265,6.5,11.5,16.0,0.00,0.00,0.01
2024-12-17T07:00,3.8,60,64,4.7,264,6.2,11.3,15.9,0.00,0.00,0.01
2024-12-17T08:00,5.4,60,39,5.5,264,6.3,11.1,15.9,0.00,0.00,0.02
2024-12-17T09:00,10.2,57,2,5.2,255,7.7,11.0,15.9,0.00,0.00,0.08
2024-12-17T10:00,13.9,45,6,5.4,284,9.7,11.0,15.9,0.00,0.00,0.18
2024-12-17T11:00,16.0,38,9,5.4,314,11.8,11.0,15.9,0.00,0.00,0.26
2024-12-17T12:00,17.1,35,95,7.6,327,13.5,11.2,15.8,0.00,0.00,0.31
2024-12-17T13:00,17.3,42,100,8.0,342,14.6,11.4,15.8,0.00,0.00,0.30
2024-12-17T14:00,16.9,46,68,7.5,10,15.3,11.7,15.8,0.00,0.00,0.26
2024-12-17T15:00,16.1,51,84,8.0,33,15.5,12.0,15.8,0.00,0.00,0.20
2024-12-17T16:00,14.5,61,98,5.5,44,14.9,12.3,15.8,0.00,0.00,0.10
2024-12-17T17:00,11.6,71,100,2.9,66,13.6,12.4,15.8,0.00,0.00,0.02
2024-12-17T18:00,11.2,73,100,1.2,54,12.2,12.5,15.8,0.00,0.00,0.00
2024-12-17T19:00,11.2,73,99,1.6,123,11.4,12.5,15.8,0.00,0.00,0.00
2024-12-17T20:00,10.7,73,90,2.3,187,10.7,12.5,15.8,0.00,0.00,0.00
2024-12-17T21:00,9.9,72,19,2.1,246,10.1,12.5,15.7,0.00,0.00,0.00
2024-12-17T22:00,8.8,73,2,3.9,238,9.4,12.4,15.7,0.00,0.00,0.00
2024-12-17T23:00,8.3,71,7,4.6,224,9.0,12.2,15.7,0.00,0.00,0.00
2024-12-18T00:00,8.0,68,0,4.1,236,8.5,12.1,15.7,0.00,0.00,0.00
2024-12-18T01:00,7.3,70,0,4.7,236,7.8,12.1,15.7,0.00,0.00,0.00
2024-12-18T02:00,7.1,60,0,4.9,218,7.7,11.9,15.7,0.00,0.00,0.01
2024-12-18T03:00,7.1,55,0,4.6,203,7.5,11.7,15.7,0.00,0.00,0.01
2024-12-18T04:00,7.4,53,0,3.3,224,7.3,11.6,15.7,0.00,0.00,0.01
2024-12-18T05:00,6.8,58,0,4.8,251,7.1,11.4,15.7,0.00,0.00,0.01
2024-12-18T06:00,6.6,57,0,6.2,228,7.0,11.2,15.7,0.00,0.00,0.02
2024-12-18T07:00,6.4,56,0,5.1,231,6.9,11.1,15.6,0.00,0.00,0.01
2024-12-18T08:00,8.0,56,4,6.1,240,7.0,10.9,15.6,0.00,0.00,0.03
2024-12-18T09:00,12.1,53,0,7.9,243,8.4,10.8,15.6,0.00,0.00,0.10
2024-12-18T10:00,15.0,50,0,5.5,262,10.4,10.8,15.6,0.00,0.00,0.17
2024-12-18T11:00,17.1,39,0,4.2,277,12.4,11.0,15.6,0.00,0.00,0.25
2024-12-18T12:00,18.7,36,0,3.8,262,14.2,11.2,15.6,0.00,0.00,0.30
2024-12-18T13:00,19.9,35,1,5.2,273,14.6,11.4,15.5,0.00,0.00,0.31
2024-12-18T14:00,20.6,33,0,4.7,287,15.8,11.7,15.5,0.00,0.00,0.28
2024-12-18T15:00,20.6,34,0,2.2,322,16.4,12.1,15.5,0.00,0.00,0.20
2024-12-18T16:00,18.3,60,0,3.4,46,16.2,12.4,15.5,0.00,0.00,0.11
2024-12-18T17:00,14.4,60,0,4.2,74,14.9,12.6,15.5,0.00,0.00,0.03
2024-12-18T18:00,13.7,62,0,0.8,90,13.4,12.8,15.5,0.00,0.00,0.00
2024-12-18T19:00,12.7,62,0,1.3,184,12.3,12.8,15.5,0.00,0.00,0.00
2024-12-18T20:00,12.2,57,2,2.4,222,11.5,12.8,15.5,0.00,0.00,0.00
2024-12-18T21:00,12.1,49,7,3.0,221,10.8,12.8,15.5,0.00,0.00,0.01
2024-12-18T22:00,12.3,43,0,2.6,232,10.3,12.7,15.5,0.00,0.00,0.01
2024-12-18T23:00,11.8,43,0,3.9,235,9.9,12.6,15.5,0.00,0.00,0.02
2024-12-19T00:00,11.3,40,0,5.6,233,9.6,12.5,15.5,0.00,0.00,0.03
2024-12-19T01:00,10.5,37,6,4.4,222,8.4,12.4,15.5,0.00,0.00,0.02
2024-12-19T02:00,9.3,35,0,6.4,240,8.4,12.3,15.5,0.00,0.00,0.04
2024-12-19T03:00,8.8,36,9,6.0,253,8.4,12.1,15.5,0.00,0.00,0.03
2024-12-19T04:00,9.0,35,23,6.1,243,8.3,12.0,15.5,0.00,0.00,0.04
2024-12-19T05:00,9.2,34,20,7.1,234,8.3,11.8,15.4,0.00,0.00,0.04
2024-12-19T06:00,9.0,36,2,6.7,257,8.2,11.7,15.4,0.00,0.00,0.04
2024-12-19T07:00,10.6,30,3,11.4,238,8.3,11.6,15.4,0.00,0.00,0.08
2024-12-19T08:00,12.8,30,12,13.8,225,9.0,11.5,15.4,0.00,0.00,0.11
2024-12-19T09:00,16.2,32,65,13.0,228,10.3,11.5,15.4,0.00,0.00,0.16
2024-12-19T10:00,19.6,31,43,10.2,235,12.2,11.5,15.4,0.00,0.00,0.24
2024-12-19T11:00,21.5,31,32,9.6,242,14.1,11.7,15.4,0.00,0.00,0.31
2024-12-19T12:00,22.4,28,35,12.3,250,15.8,12.0,15.4,0.00,0.00,0.37
2024-12-19T13:00,23.1,28,88,9.0,262,16.7,12.3,15.4,0.00,0.00,0.36
2024-12-19T14:00,22.7,33,99,6.3,273,17.3,12.6,15.4,0.00,0.00,0.26
2024-12-19T15:00,21.4,41,100,4.2,283,17.3,13.0,15.4,0.00,0.00,0.14
2024-12-19T16:00,19.6,49,90,3.1,305,16.6,13.2,15.4,0.00,0.00,0.07
2024-12-19T17:00,18.2,45,100,2.2,290,15.7,13.4,15.4,0.00,0.00,0.03
2024-12-19T18:00,16.2,57,100,1.6,270,14.7,13.6,15.4,0.10,0.10,0.00
2024-12-19T19:00,14.5,58,37,6.0,201,13.7,13.6,15.4,0.00,0.00,0.02
2024-12-19T20:00,13.0,59,12,6.9,211,12.9,13.7,15.4,0.00,0.00,0.02
2024-12-19T21:00,13.1,61,24,7.6,219,12.4,13.6,15.4,0.00,0.00,0.02
2024-12-19T22:00,12.9,66,62,6.8,218,12.1,13.6,15.4,0.00,0.00,0.02
2024-12-19T23:00,13.1,69,94,6.8,223,11.9,13.5,15.4,0.00,0.00,0.01
2024-12-20T00:00,13.4,70,63,6.5,237,11.9,13.5,15.4,0.00,0.00,0.01
2024-12-20T01:00,14.5,62,98,6.6,262,13.8,13.9,15.4,0.00,0.00,0.02
2024-12-20T02:00,15.1,61,100,7.3,255,13.5,13.9,15.4,0.00,0.00,0.03
2024-12-20T03:00,14.4,59,100,7.9,243,13.1,13.9,15.4,0.00,0.00,0.03
2024-12-20T04:00,13.9,60,100,11.4,219,12.9,13.9,15.4,0.00,0.00,0.04
2024-12-20T05:00,13.7,68,99,11.3,219,12.8,13.8,15.4,0.00,0.00,0.03
2024-12-20T06:00,13.2,76,99,10.0,222,12.6,13.8,15.4,0.00,0.00,0.02
2024-12-20T07:00,12.7,80,96,7.7,232,12.4,13.8,15.4,0.00,0.00,0.00
2024-12-20T08:00,13.1,80,94,5.0,229,12.4,13.7,15.4,0.00,0.00,0.02
2024-12-20T09:00,15.4,74,99,4.0,210,13.2,13.7,15.4,0.00,0.00,0.07
2024-12-20T10:00,17.1,66,92,2.4,171,14.4,13.7,15.4,0.00,0.00,0.12
2024-12-20T11:00,18.1,62,81,0.8,198,15.7,13.9,15.4,0.00,0.00,0.19
2024-12-20T12:00,19.0,58,86,2.7,340,17.2,14.0,15.4,0.00,0.00,0.28
2024-12-20T13:00,20.5,51,97,5.2,321,18.5,14.3,15.4,0.00,0.00,0.29
2024-12-20T14:00,20.5,51,98,8.0,342,18.8,14.5,15.4,0.00,0.00,0.25
2024-12-20T15:00,18.7,61,34,12.5,6,18.4,14.8,15.4,0.00,0.00,0.17
2024-12-20T16:00,17.5,68,38,8.5,22,17.9,15.0,15.4,0.00,0.00,0.11
2024-12-20T17:00,15.0,83,66,4.7,37,16.8,15.1,15.4,0.00,0.00,0.02
2024-12-20T18:00,14.7,84,54,5.6,77,15.9,15.2,15.4,0.00,0.00,0.00
2024-12-20T19:00,14.4,84,100,4.2,102,15.3,15.2,15.5,0.00,0.00,0.00
2024-12-20T20:00,14.4,82,100,3.5,129,15.0,15.2,15.5,0.00,0.00,0.00
2024-12-20T21:00,14.1,82,100,2.2,165,14.7,15.2,15.5,0.00,0.00,0.00
2024-12-20T22:00,14.4,79,100,1.1,330,14.4,15.2,15.5,0.00,0.00,0.00
2024-12-20T23:00,14.4,81,100,1.0,352,14.3,15.1,15.5,0.00,0.00,0.00
2024-12-21T00:00,13.9,83,88,0.4,23,14.1,15.1,15.5,0.00,0.00,0.00
2024-12-21T01:00,12.2,81,88,0.2,29,12.9,15.0,15.5,0.00,0.00,0.00
2024-12-21T02:00,11.6,82,100,1.7,71,12.4,14.9,15.5,0.00,0.00,0.00
2024-12-21T03:00,11.8,80,100,1.5,72,12.1,14.7,15.5,0.00,0.00,0.00
2024-12-21T04:00,12.3,81,100,0.7,56,12.2,14.6,15.5,0.00,0.00,0.00
2024-12-21T05:00,12.2,83,100,0.6,64,12.2,14.5,15.5,0.00,0.00,0.00
2024-12-21T06:00,12.5,82,100,1.0,71,12.3,14.4,15.6,0.00,0.00,0.00
2024-12-21T07:00,12.8,81,100,1.8,68,12.3,14.3,15.6,0.00,0.00,0.00
2024-12-21T08:00,13.1,83,100,4.1,65,12.4,14.2,15.6,0.00,0.00,0.02
2024-12-21T09:00,14.4,79,100,6.8,52,13.0,14.1,15.6,0.00,0.00,0.05
2024-12-21T10:00,15.3,74,100,12.5,46,13.8,14.1,15.6,0.00,0.00,0.10
2024-12-21T11:00,16.4,67,100,13.7,45,14.8,14.2,15.6,0.00,0.00,0.18
2024-12-21T12:00,16.9,65,100,13.9,42,15.7,14.3,15.6,0.00,0.00,0.21
2024-12-21T13:00,17.1,66,93,15.7,44,16.2,14.4,15.6,0.00,0.00,0.25
2024-12-21T14:00,16.9,67,100,18.0,46,16.9,14.6,15.6,0.00,0.00,0.24
2024-12-21T15:00,16.3,67,100,17.7,52,16.8,14.7,15.6,0.00,0.00,0.17
2024-12-21T16:00,15.5,69,100,14.8,53,16.3,14.8,15.6,0.00,0.00,0.10
2024-12-21T17:00,14.3,74,100,12.7,57,15.6,14.9,15.6,0.00,0.00,0.05
2024-12-21T18:00,13.6,78,100,10.3,68,14.9,14.9,15.6,0.00,0.00,0.01
2024-12-21T19:00,13.2,80,99,8.7,67,14.3,14.9,15.6,0.00,0.00,0.01
2024-12-21T20:00,12.6,82,77,7.7,62,13.7,14.9,15.6,0.00,0.00,0.00
2024-12-21T21:00,11.9,82,1,7.9,62,13.1,14.8,15.6,0.00,0.00,0.00
2024-12-21T22:00,11.0,82,1,5.2,65,12.4,14.7,15.6,0.00,0.00,0.00
2024-12-21T23:00,10.8,81,0,2.6,48,11.7,14.6,15.6,0.00,0.00,0.00
2024-12-22T00:00,10.5,81,0,2.2,48,11.2,14.4,15.6,0.00,0.00,0.00
2024-12-22T01:00,10.5,76,3,1.3,36,11.6,14.4,15.7,0.00,0.00,0.00
2024-12-22T02:00,9.8,79,18,1.2,7,11.0,14.3,15.7,0.00,0.00,0.00
2024-12-22T03:00,9.1,82,19,2.7,295,10.5,14.1,15.7,0.00,0.00,0.00
2024-12-22T04:00,8.4,85,1,3.7,295,10.1,13.9,15.7,0.00,0.00,0.00
2024-12-22T05:00,8.3,87,0,5.2,288,10.0,13.7,15.7,0.00,0.00,0.00
2024-12-22T06:00,7.3,92,0,7.2,256,9.8,13.5,15.7,0.00,0.00,0.00
2024-12-22T07:00,6.9,92,0,5.2,273,9.6,13.3,15.7,0.00,0.00,0.00
2024-12-22T08:00,8.0,87,0,1.9,311,9.6,13.2,15.7,0.00,0.00,0.01
2024-12-22T09:00,11.6,76,0,2.4,292,10.6,13.0,15.6,0.00,0.00,0.06
2024-12-22T10:00,14.2,63,0,4.2,315,12.2,13.0,15.6,0.00,0.00,0.16
2024-12-22T11:00,16.1,57,0,6.1,310,13.9,13.1,15.6,0.00,0.00,0.24
2024-12-22T12:00,17.0,53,0,9.3,342,15.3,13.2,15.6,0.00,0.00,0.28
2024-12-22T13:00,16.9,55,0,9.3,22,15.8,13.3,15.6,0.00,0.00,0.29
2024-12-22T14:00,16.9,57,0,7.7,38,16.6,13.5,15.6,0.00,0.00,0.26
2024-12-22T15:00,16.7,58,0,8.8,42,16.8,13.8,15.6,0.00,0.00,0.20
2024-12-22T16:00,16.1,62,0,4.5,77,16.4,14.0,15.6,0.00,0.00,0.11
2024-12-22T17:00,14.0,69,0,0.7,114,15.2,14.1,15.6,0.00,0.00,0.01
2024-12-22T18:00,12.7,74,0,1.3,184,13.8,14.1,15.6,0.00,0.00,0.00
2024-12-22T19:00,12.3,75,0,0.8,338,12.8,14.1,15.6,0.00,0.00,0.00
2024-12-22T20:00,11.6,77,0,1.9,288,11.9,14.0,15.6,0.00,0.00,0.00
2024-12-22T21:00,10.9,79,0,2.3,300,11.3,13.9,15.6,0.00,0.00,0.00
2024-12-22T22:00,9.8,82,0,4.6,194,10.7,13.8,15.6,0.00,0.00,0.00
2024-12-22T23:00,9.4,83,0,5.1,222,10.4,13.6,15.6,0.00,0.00,0.00
2024-12-23T00:00,9.1,84,0,5.8,250,10.1,13.5,15.6,0.00,0.00,0.00
2024-12-23T01:00,9.1,78,0,6.2,224,9.8,13.4,15.6,0.00,0.00,0.00
2024-12-23T02:00,9.7,73,0,9.8,221,9.8,13.3,15.6,0.00,0.00,0.02
2024-12-23T03:00,9.7,74,0,9.2,231,9.8,13.1,15.6,0.00,0.00,0.01
2024-12-23T04:00,8.9,77,0,6.0,229,9.6,13.0,15.6,0.00,0.00,0.00
2024-12-23T05:00,9.0,73,0,1.3,220,9.1,12.8,15.6,0.00,0.00,0.00
2024-12-23T06:00,8.6,73,0,3.4,208,8.8,12.6,15.6,0.00,0.00,0.00
2024-12-23T07:00,8.7,70,0,6.4,225,8.5,12.5,15.6,0.00,0.00,0.01
2024-12-23T08:00,9.9,69,0,2.2,247,8.6,12.3,15.6,0.00,0.00,0.01
2024-12-23T09:00,11.9,66,0,2.3,90,9.9,12.2,15.6,0.00,0.00,0.07
2024-12-23T10:00,14.8,57,0,2.4,90,11.7,12.2,15.6,0.00,0.00,0.16
2024-12-23T11:00,17.1,51,0,5.1,63,13.5,12.3,15.6,0.00,0.00,0.25
2024-12-23T12:00,18.4,51,0,10.9,60,15.1,12.5,15.6,0.00,0.00,0.30
2024-12-23T13:00,19.3,48,0,7.3,52,16.6,12.8,15.6,0.00,0.00,0.31
2024-12-23T14:00,19.1,52,0,11.2,48,17.2,13.1,15.6,0.00,0.00,0.29
2024-12-23T15:00,17.7,57,0,15.5,50,17.2,13.4,15.6,0.00,0.00,0.22
2024-12-23T16:00,16.3,63,0,15.7,56,16.6,13.7,15.6,0.00,0.00,0.14
